q1,q2,q3,q4,q5,q6,q7,q8,q9,q10
0.00123401,0.00751834,0.00761409,-0.000586348,-0.00451949,-0.00116841,-4.44829e-06,-9.79192e-07,0.000698259,-0.000698219
0.00122132,0.00753101,0.00760943,-0.000583625,-0.00452358,-0.0011642,-2.87729e-08,2.70568e-06,0.000698437,-0.000698383
0.00117981,0.0074976,0.00762131,-0.000584522,-0.00450447,-0.00116471,-7.86637e-07,1.80156e-05,0.000691451,-0.000691981
0.00126974,0.00748854,0.00761825,-0.000583604,-0.00449986,-0.00116303,-8.9871e-06,2.71456e-05,0.000695445,-0.000695331
0.00122003,0.00751228,0.00761416,-0.000582902,-0.00451117,-0.0011629,1.91142e-07,3.01846e-06,0.000701731,-0.000701769
0.00122729,0.00752151,0.00760509,-0.000580954,-0.00452102,-0.0011623,-1.5974e-05,2.7026e-05,0.000697627,-0.000697701
0.00118261,0.00754701,0.00759877,-0.000582033,-0.00452834,-0.00116239,7.23869e-07,2.36048e-06,0.000705253,-0.000705491
0.00119792,0.0075695,0.00759169,-0.000582244,-0.00452688,-0.00116216,-3.00149e-06,1.01909e-05,0.000705475,-0.000705376
0.00121969,0.00759289,0.00758671,-0.000579566,-0.00453474,-0.00116171,-1.34867e-05,3.07436e-06,0.000706901,-0.000707184
0.00120316,0.00759513,0.00758628,-0.000582351,-0.00453261,-0.0011629,-6.77274e-06,2.63778e-05,0.000703172,-0.000702969
0.00119342,0.00758304,0.00760239,-0.000583015,-0.00451389,-0.0011635,-6.8686e-06,2.0251e-05,0.000701944,-0.000702204
0.0011726,0.00756758,0.00761387,-0.00058389,-0.00449877,-0.00116235,-1.44212e-05,1.03362e-06,0.000695379,-0.000695673
0.0012133,0.00757632,0.00762312,-0.000582994,-0.00447631,-0.00116157,8.2344e-08,1.36368e-07,0.000693806,-0.000693815
0.00126124,0.00756183,0.00763255,-0.000580363,-0.00446254,-0.00116058,-3.22194e-07,2.35943e-05,0.000696508,-0.00069644
0.00122097,0.00755708,0.00764215,-0.000580165,-0.00443937,-0.0011605,-8.16358e-06,-1.87575e-06,0.000694064,-0.000694072
0.00121715,0.0075473,0.00765387,-0.000580276,-0.0044167,-0.00116099,-2.52878e-06,4.9217e-06,0.000691351,-0.000691387
0.00118175,0.00753986,0.00766148,-0.000580126,-0.00440521,-0.00116131,-2.48513e-06,2.42501e-05,0.00069548,-0.00069584
0.00124396,0.00753911,0.0076562,-0.00058197,-0.00440979,-0.00116321,-1.31392e-05,9.88035e-06,0.000698739,-0.000698576
0.00122992,0.00756938,0.00765038,-0.000582666,-0.00443201,-0.00116374,-2.76e-06,1.90988e-05,0.000698598,-0.000699052
0.00125281,0.00761275,0.00764351,-0.00058119,-0.00445174,-0.00116357,-4.84005e-06,-5.27841e-07,0.000701194,-0.000701559
0.00121424,0.00760687,0.00764433,-0.000578506,-0.00446293,-0.00116283,2.16105e-07,2.65701e-05,0.00070706,-0.000707173
0.00121798,0.00760518,0.00763656,-0.000577754,-0.00447736,-0.00116224,-1.72135e-06,1.34052e-05,0.000699926,-0.00069994
0.00120074,0.00762959,0.00762714,-0.000580198,-0.00449697,-0.00116361,-4.5279e-06,2.1798e-06,0.000702166,-0.000702414
0.00117064,0.00763201,0.00762419,-0.000579478,-0.00450574,-0.00116154,-1.09853e-05,2.4055e-05,0.000699604,-0.000699977
